first_seen	node_name	fuse_first	n_ids_first	rows
163	node_636.dst	1	4	4
164	attn_post_norm-6.dst	2	4	4
165	linear_attn_out-6.dst	1	4	4
166	ffn_moe_logits_raw-6.dst	1	4	4
167	ffn_moe_gate-6.dst	1	4	4
168	ffn_moe_up-6.dst	1	4	4
169	ffn_gate-6.dst	1	4	4
170	ffn_up-6.dst	1	4	4
171	shared_expert_gate-6.dst	1	2	4
172	ffn_moe_down-6.dst	1	4	4
173	ffn_shexp-6.dst	1	4	4
174	ffn_shexp_gated-6.dst	1	4	4
175	ffn_moe_weights_norm-6.dst	1	4	4
176	ffn_moe_weighted-6.dst	1	4	4
177	ffn_moe_out-6.dst	7	4	4
178	l_out-6.dst	2	4	4
179	attn_norm-7.dst	2	4	4
180	Qcur_full-7.dst	1	4	4
181	Vcur-7.dst	1	4	4
182	Kcur-7.dst	1	4	4
183	Qcur_normed-7.dst	2	4	4
184	Kcur_normed-7.dst	2	4	4
185	node_717.dst	1	4	4
186	attn_gated-7.dst	1	4	4
187	attn_output-7.dst	1	4	4
188	attn_residual-7.dst	1	4	4
189	attn_post_norm-7.dst	2	4	4
190	ffn_moe_logits_raw-7.dst	1	4	4
191	ffn_moe_gate-7.dst	1	4	4
192	ffn_moe_up-7.dst	1	4	4
193	ffn_gate-7.dst	1	4	4
194	ffn_up-7.dst	1	4	4
195	shared_expert_gate-7.dst	1	2	4
196	ffn_moe_down-7.dst	1	4	4
197	ffn_shexp-7.dst	1	4	4
198	ffn_shexp_gated-7.dst	1	4	4
199	ffn_moe_weights_norm-7.dst	1	4	4
200	ffn_moe_weighted-7.dst	1	4	4
201	ffn_moe_out-7.dst	7	4	4
202	l_out-7.dst	2	4	4
203	attn_norm-8.dst	2	4	4
204	node_781.dst	1	4	4
205	node_802.dst	1	4	4
206	node_808.dst	1	4	4
207	node_804.dst	1	4	4
208	z-8.dst	1	4	4
209	gate-8.dst	1	4	4
210	norm-8.dst	1	4	4
211	node_818.dst	1	4	4
212	attn_residual-8.dst	1	4	4
213	node_822.dst	1	4	4
214	attn_post_norm-8.dst	2	4	4
215	linear_attn_out-8.dst	1	4	4
216	ffn_moe_logits_raw-8.dst	1	4	4
